"PA","Time","total","change"
"ANG MO KIO",2001,176730,-4650
"ANG MO KIO",2002,174310,-2420
"ANG MO KIO",2003,170660,-3650
"ANG MO KIO",2004,169770,-890
"ANG MO KIO",2005,170120,350
"ANG MO KIO",2006,171790,1670
"ANG MO KIO",2007,173360,1570
"ANG MO KIO",2008,175840,2480
"ANG MO KIO",2009,179970,4130
"ANG MO KIO",2010,179920,-50
"ANG MO KIO",2011,179510,-410
"ANG MO KIO",2012,179850,340
"ANG MO KIO",2013,179590,-260
"ANG MO KIO",2014,178890,-700
"ANG MO KIO",2015,175660,-3230
"ANG MO KIO",2016,171460,-4200
"ANG MO KIO",2017,167810,-3650
"ANG MO KIO",2018,166580,-1230
"ANG MO KIO",2019,164970,-1610
"ANG MO KIO",2020,163460,-1510
"ANG MO KIO",2021,160030,-3430
"ANG MO KIO",2022,161900,1870
"ANG MO KIO",2023,161910,10
"BEDOK",2001,285620,-140
"BEDOK",2002,285850,230
"BEDOK",2003,279600,-6250
"BEDOK",2004,279660,60
"BEDOK",2005,280700,1040
"BEDOK",2006,282150,1450
"BEDOK",2007,284810,2660
"BEDOK",2008,286590,1780
"BEDOK",2009,292810,6220
"BEDOK",2010,295160,2350
"BEDOK",2011,296240,1080
"BEDOK",2012,295870,-370
"BEDOK",2013,294570,-1300
"BEDOK",2014,293960,-610
"BEDOK",2015,290570,-3390
"BEDOK",2016,287660,-2910
"BEDOK",2017,285680,-1980
"BEDOK",2018,281870,-3810
"BEDOK",2019,280190,-1680
"BEDOK",2020,277650,-2540
"BEDOK",2021,272660,-4990
"BEDOK",2022,278970,6310
"BEDOK",2023,280230,1260
"BISHAN",2001,89340,-950
"BISHAN",2002,88790,-550
"BISHAN",2003,86100,-2690
"BISHAN",2004,86940,840
"BISHAN",2005,87990,1050
"BISHAN",2006,89080,1090
"BISHAN",2007,89910,830
"BISHAN",2008,90410,500
"BISHAN",2009,91420,1010
"BISHAN",2010,91460,40
"BISHAN",2011,90990,-470
"BISHAN",2012,92920,1930
"BISHAN",2013,93080,160
"BISHAN",2014,92280,-800
"BISHAN",2015,90980,-1300
"BISHAN",2016,90370,-610
"BISHAN",2017,90450,80
"BISHAN",2018,88740,-1710
"BISHAN",2019,88230,-510
"BISHAN",2020,87580,-650
"BISHAN",2021,84740,-2840
"BISHAN",2022,85940,1200
"BISHAN",2023,88340,2400
"BOON LAY",2001,0,NA
"BOON LAY",2002,0,0
"BOON LAY",2003,0,0
"BOON LAY",2004,0,0
"BOON LAY",2005,0,0
"BOON LAY",2006,0,0
"BOON LAY",2007,0,0
"BOON LAY",2008,0,0
"BOON LAY",2009,0,0
"BOON LAY",2010,0,0
"BOON LAY",2011,0,0
"BOON LAY",2012,0,0
"BOON LAY",2013,0,0
"BOON LAY",2014,0,0
"BOON LAY",2015,0,0
"BOON LAY",2016,0,0
"BOON LAY",2017,0,0
"BOON LAY",2018,0,0
"BOON LAY",2019,0,0
"BOON LAY",2020,0,0
"BOON LAY",2021,0,0
"BOON LAY",2022,0,0
"BOON LAY",2023,0,0
"BUKIT BATOK",2001,127620,230
"BUKIT BATOK",2002,129920,2300
"BUKIT BATOK",2003,130670,750
"BUKIT BATOK",2004,133240,2570
"BUKIT BATOK",2005,135970,2730
"BUKIT BATOK",2006,138970,3000
"BUKIT BATOK",2007,141140,2170
"BUKIT BATOK",2008,142220,1080
"BUKIT BATOK",2009,145180,2960
"BUKIT BATOK",2010,144900,-280
